"Index","Level 1 Page","Level 2 Page","Level 3 Page","Level 4 Page","Level 5 Page","Mega Menu?","Drupal Content Type","Gather Content Template","Comments","Desktop Wireframes","Current URL","New URL","Page Format","Content Group","View Mode"
,,"Wage Subsidy Program",,,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/Wage-Subsidy.aspx",,,"SDPR",
,,"Work Experience Opportunities Grant",,,,"yes","Landing page",,"Use these icons ","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=2j8trz&p=l2_-_hire_employees_-_approved&g=1","https://www.workbc.ca/Employment-Services/Work-Experience-Opportunities-Grant.aspx",,,"SDPR",
,,"Apprentice Services",,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=xwd38v&p=l2_-_apprentice_services_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/Apprentice-Services.aspx",,,"SDPR",
,,,"Access Online WorkBC Apprentice Services",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/Apprentice-Services/Access-Online-WorkBC-Apprentice-Services.aspx",,,"SDPR",
,,,"Assess Your Eligibility",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/Apprentice-Services/Assess-Your-Eligibility.aspx",,,"SDPR",
,,,"How To Apply",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/Apprentice-Services/How-To-Apply.aspx",,,"SDPR",
,,,"Training Supports",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/Apprentice-Services/Training-Supports.aspx",,,"SDPR",
,,,,,,,,,,,,,,,
,"Explore Training and Education",,,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=3h8u5o&p=l1_-_explore_training___education_-_approved&g=1","https://www.workbc.ca/Training-Education.aspx",,,,
,,"Skills Training and Supports",,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=o80809&p=l1_-_access_employer_resources_-_approved&g=1","New Page",,,,
,,,"Skills Training for Employment Program",,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=sfkvj0&p=l3_-_community_workforce_response_grant&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment.aspx",,,"WDA",
,,,,"Impacted Workers",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1 ","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Impacted-Workers.aspx",,"sidenav","WDA",
,,,,"Young Adults at Risk",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-at-Risk-Program.aspx",,,"WDA",
,,,,,"Cariboo",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-at-Risk-Program/Cariboo.aspx",,"sidenav","WDA",
,,,,,"Kootenay",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-at-Risk-Program/Kootenay.aspx",,"sidenav","WDA",
,,,,,"Mainland/Southwest",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-at-Risk-Program/Mainland-Southwest.aspx",,"sidenav","WDA",
,,,,,"North Coast and Nechako",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-at-Risk-Program/North-Coast-Nechako.aspx",,"sidenav","WDA",
,,,,,"Northeast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-at-Risk-Program/Northeast.aspx",,"sidenav","WDA",
,,,,,"Thompson-Okanagan",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-at-Risk-Program/Thompson-Okanagan.aspx",,"sidenav","WDA",
,,,,,"Vancouver Island/Coast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-at-Risk-Program/Vancouver-Island-Coast.aspx",,"sidenav","WDA",
,,,,"Young Adults",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-Program.aspx",,,"WDA",
,,,,,"Cariboo",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-Program/Cariboo.aspx",,"sidenav","WDA",
,,,,,"Kootenay",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-Program/Kootenay.aspx",,"sidenav","WDA",
,,,,,"Mainland/Southwest",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-Program/Mainland-Southwest.aspx",,"sidenav","WDA",
,,,,,"North Coast and Nechako",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-Program/North-Coast-Nechako.aspx",,"sidenav","WDA",
,,,,,"Northeast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-Program/Northeast.aspx",,"sidenav","WDA",
,,,,,"Thompson-Okanagan",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-Program/Thompson-Okanagan.aspx",,"sidenav","WDA",
,,,,,"Vancouver Island/Coast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-Program/Vancouver-Island-Coast.aspx",,"sidenav","WDA",
,,,,"Survivors of Violence and/or Abuse",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Survivors-of-Violence-and-or-Abuse.aspx",,,"WDA",
,,,,,"Cariboo",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Survivors-of-Violence-and-or-Abuse/Cariboo.aspx",,"sidenav","WDA",
,,,,,"Kootenay",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Survivors-of-Violence-and-or-Abuse/Kootenay.aspx",,"sidenav","WDA",
,,,,,"Mainland/Southwest",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Survivors-of-Violence-and-or-Abuse/Mainland-Southwest.aspx",,"sidenav","WDA",
,,,,,"North Coast and Nechako",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Survivors-of-Violence-and-or-Abuse/North-Coast-Nechako.aspx",,"sidenav","WDA",
,,,,,"Northeast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Survivors-of-Violence-and-or-Abuse/Northeast.aspx",,"sidenav","WDA",
,,,,,"Thompson-Okanagan",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Survivors-of-Violence-and-or-Abuse/Thompson-Okanagan.aspx",,"sidenav","WDA",
,,,,,"Vancouver Island/Coast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Survivors-of-Violence-and-or-Abuse/Vancouver-Island-Coast.aspx",,"sidenav","WDA",
,,,,"Older Workers 55+",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Older-Workers-55.aspx",,,"WDA",
,,,,,"Cariboo",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Older-Workers-55/Cariboo.aspx",,"sidenav","WDA",
,,,,,"Kootenay",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Older-Workers-55/Kootenay.aspx",,"sidenav","WDA",
,,,,,"Mainland/Southwest",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Older-Workers-55/Mainland-Southwest.aspx",,"sidenav","WDA",
,,,,,"North Coast and Nechako",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Older-Workers-55/North-Coast-Nechako.aspx",,"sidenav","WDA",
,,,,,"Northeast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Older-Workers-55/Northeast.aspx",,"sidenav","WDA",
,,,,,"Thompson-Okanagan",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Older-Workers-55/Thompson-Okanagan.aspx",,"sidenav","WDA",
,,,,,"Vancouver Island/Coast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Older-Workers-55/Vancouver-Island-Coast.aspx",,"sidenav","WDA",
,,,,"Individuals Facing Multiple Barriers",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Individuals-Facing-Multiple-Barriers.aspx",,,"WDA",
,,,,,"Cariboo",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Individuals-Facing-Multiple-Barriers/Cariboo.aspx",,"sidenav","WDA",
,,,,,"Kootenay",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Individuals-Facing-Multiple-Barriers/Kootenay.aspx",,"sidenav","WDA",
,,,,,"Mainland/Southwest",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Individuals-Facing-Multiple-Barriers/Mainland-Southwest.aspx",,"sidenav","WDA",
,,,,,"North Coast and Nechako",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Individuals-Facing-Multiple-Barriers/North-Coast-Nechako.aspx",,"sidenav","WDA",
,,,,,"Northeast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Individuals-Facing-Multiple-Barriers/Northeast.aspx",,"sidenav","WDA",
,,,,,"Thompson-Okanagan",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Individuals-Facing-Multiple-Barriers/Thompson-Okanagan.aspx",,"sidenav","WDA",
,,,,,"Vancouver Island/Coast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Individuals-Facing-Multiple-Barriers/Vancouver-Island-Coast.aspx",,"sidenav","WDA",
,,,,"People at Risk of or Experiencing Homelessness",,,"Basic page",,"North Coast & Nechako does not exist on legacy site","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/People-at-Risk-of-or-Experiencing-Homelessness.aspx",,,"WDA",
,,,,,"Cariboo",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/People-at-Risk-of-or-Experiencing-Homelessness/Cariboo.aspx",,"sidenav","WDA",
,,,,,"Kootenay",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/People-at-Risk-of-or-Experiencing-Homelessness/Kootenay.aspx",,"sidenav","WDA",
,,,,,"Mainland/Southwest",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/People-at-Risk-of-or-Experiencing-Homelessness/Mainland-Southwest.aspx",,"sidenav","WDA",
,,,,,"Northeast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/People-at-Risk-of-or-Experiencing-Homelessness/Northeast.aspx",,"sidenav","WDA",
,,,,,"Thompson-Okanagan",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/People-at-Risk-of-or-Experiencing-Homelessness/Thompson-Okanagan.aspx",,"sidenav","WDA",
,,,,,"Vancouver Island/Coast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/People-at-Risk-of-or-Experiencing-Homelessness/Vancouver-Island-Coast.aspx",,"sidenav","WDA",
,,,,"Persons with Disabilities",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Persons-with-Disabilities.aspx",,,"WDA",
,,,,,"Cariboo",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Persons-with-Disabilities/Cariboo.aspx",,"sidenav","WDA",
,,,,,"Kootenay",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Persons-with-Disabilities/Kootenay.aspx",,"sidenav","WDA",
,,,,,"Mainland/Southwest",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Persons-with-Disabilities/Mainland-Southwest.aspx",,"sidenav","WDA",
,,,,,"North Coast and Nechako",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Persons-with-Disabilities/North-Coast-Nechako.aspx",,"sidenav","WDA",
,,,,,"Northeast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Persons-with-Disabilities/Northeast.aspx",,"sidenav","WDA",
,,,,,"Thompson-Okanagan",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Persons-with-Disabilities/Thompson-Okanagan.aspx",,"sidenav","WDA",
,,,,,"Vancouver Island/Coast",,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Persons-with-Disabilities/Vancouver-Island-Coast.aspx",,"sidenav","WDA",
,,,"BladeRunners Program for At-Risk Young Adults",,,"yes","Basic page",,"With banner image","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Employment-Services/Labour-Market-Programs/Bladerunners-Program.aspx ",,"sidenav","WDA",
,,"Trades Training",,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors_-_approved&g=1","https://www.workbc.ca/Training-Education/Trades-Training.aspx,https://www.workbc.ca/trades",,,,
,,,"Trades Training Programs",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1","https://www.workbc.ca/Training-Education/Trades-Training/Access-trade-training-programs-(1).aspx",,,,
,,,"About Apprenticeship",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1","https://www.workbc.ca/Training-Education/Trades-Training/About-Apprenticeship.aspx,https://www.workbc.ca/apprentice",,,,
,,,"Pre-Apprenticeship Programs",,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors_-_approved&g=1","https://www.workbc.ca/Training-Education/Trades-Training/Pre-Apprentice-Programs.aspx ",,,"WDA",
,,,,"Indigenous Peoples in Trades Training",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","New Page",,"sidenav","WDA",
,,,,"Women in Trades Training",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","New Page",,"sidenav","WDA",
,,,,"Equity Seeking Groups in Trades Training",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","New Page",,"sidenav","WDA",
,,,,"Persons with Disabilities in Trades Training",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","New Page",,"sidenav","WDA",
,,"Post-Secondary Education",,,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1","https://www.workbc.ca/Training-Education/Post-Secondary.aspx",,,,
,,"Co-operative Education",,,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1","https://www.workbc.ca/Training-Education/Co-operative-Education.aspx,https://www.workbc.ca/co-op,https://www.workbc.ca/coop",,,,
,,,,,,,,,,,,,,,
,"Research the Labour Market",,,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=wuwi4b&p=l1_-_research_the_labour_market_-_approved&g=1 ","https://www.workbc.ca/Labour-Market-Industry.aspx,https://www.workbc.ca/Labour-Market-Information.aspx,https://www.workbc.ca/economy",,,,
,,"B.C.’s Economy",,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=1lfvda&p=l2_-_industry___employers_-_approved&g=1 ","https://www.workbc.ca/Labour-Market-Industry/B-C-s-Economy.aspx",,,,
,,,"Labour Market Monthly Update",,,"yes","Labour Market Monthly",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=74lpyu&p=l3_-_labour_market_monthly_update_-_approved&g=1 ","https://www.workbc.ca/Labour-Market-Industry/B-C-s-Economy/Labour-market-snapshots.aspx",,,,
,,,"Green Economy",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Labour-Market-Industry/B-C-s-Economy/Green-Economy.aspx",,,,
,,,"Guide to Using Labour Market Information",,,"yes","Basic page",,"Custom element","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=5q3hkt&p=l3_-_guide_to_using_labour_market_info_-_wip&g=1 ","https://www.workbc.ca/Labour-Market-Industry/B-C-s-Economy/Guide-to-using-Labour-Market-Information.aspx",,,,
,,,"Reports",,,"yes","Basic page",,"TODO
With one full size component","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","New Page",,,,
,,,,"Workforce Development Agreement and Annual Reports",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Labour-Market-Industry/B-C-s-Economy/Workforce-Development-Agreement-and-Annual-Reports.aspx",,,,
,,"B.C.’s Labour Market Outlook: 2021 Edition",,,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Labour-Market-Industry/Labour-Market-Outlook.aspx,https://www.workbc.ca/labourmarketoutlook",,,,
,,"High Opportunity Occupations",,,,"yes","Basic page",,"Embedded view","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=yulkld&p=l2_-_high_opportunity_occupations_-_approved&g=1 ","https://www.workbc.ca/Labour-Market-Industry/High-Opportunity-Occupations.aspx,https://www.workbc.ca/Labour-Market-Industry/Jobs-in-Demand/High-Demand-Occupations.aspx",,,,
,,"Top Demand Trades",,,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1","https://www.workbc.ca/Labour-Market-Industry/Top-Demand-Trades.aspx",,,,
,,"B.C. and Regional Profiles",,,,"yes","Basic page",,"Embedded map",,"https://www.workbc.ca/Labour-Market-Industry/Regional-Profiles.aspx,https://www.workbc.ca/regional,https://www.workbc.ca/bcandregional",,,,
,,,"British Columbia",,,"yes","BC Profile",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=fq8d58&p=l3_-_bc_profile_-_approved&g=1","https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/British-Columbia",,,,
,,,"North Coast and Nechako",,,"yes","Regional Profile",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=n03atv&p=l3_-_regional_profile_-_approved&g=1","https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/North-Coast-Nechako",,,,
,,,"Vancouver Island/Coast",,,"yes","Regional Profile",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=n03atv&p=l3_-_regional_profile_-_approved&g=1","https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/Vancouver-Island-Coast",,,,
,,,"Mainland/Southwest",,,"yes","Regional Profile",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=n03atv&p=l3_-_regional_profile_-_approved&g=1","https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/Mainland-Southwest",,,,
,,,"Northeast",,,"yes","Regional Profile",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=n03atv&p=l3_-_regional_profile_-_approved&g=1","https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/Northeast",,,,
,,,"Cariboo",,,"yes","Regional Profile",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=n03atv&p=l3_-_regional_profile_-_approved&g=1","https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/Cariboo",,,,
