NOC 2016 Code (4-digit),NOC 2016 Label,NOC 2016 Skill level,NOC 2021 Code (5-digit),NOC 2021 Label,NOC 2021 TEER,Description
4411,Home child care providers,C,44100,Home child care providers,4,N/A
6731,Light duty cleaners,D,65310,Light duty cleaners,5,N/A
4412,"Home support workers, housekeepers and related occupations",C,44101,"Home support workers, caregivers and related occupations",4,"NOC 4412 was split. Job titles related to home support workers, caregivers and related occupations moved from NOC 4412 to NOC 44101."
,,,65310,Light duty cleaners,5,"NOC 4412 was split. Job titles ""Housekeepers"" and ""Domestic housekeepers"" moved from NOC 4412 to NOC 65310."
4413,Elementary and secondary school teacher assistants,C,43100,Elementary and secondary school teacher assistants,3,NOC 4413 was split. Job titles related to elementary and secondary school teacher assistants moved from NOC 4413 to NOC 43100.
,,,45100,"Student monitors, crossing guards and related occupations",5,NOC 4413 was split. Job titles related to student monitors moved from NOC 4413 to NOC 45100.
4421,Sheriffs and bailiffs,C,43200,Sheriffs and bailiffs,3,N/A
4422,Correctional service officers,C,43201,Correctional service officers,3,N/A
4423,"By-law enforcement and other regulatory officers, n.e.c.",C,43202,By-law enforcement and other regulatory officers,3,N/A
511,"Library, archive, museum and art gallery managers",Management / A,50010,"Library, archive, museum and art gallery managers",0,N/A
512,"Managers - publishing, motion pictures, broadcasting and performing arts",Management / A,50011,"Managers - publishing, motion pictures, broadcasting and performing arts",0,N/A
513,"Recreation, sports and fitness program and service directors",Management / A,50012,"Recreation, sports and fitness program and service directors",0,N/A
5111,Librarians,A,51100,Librarians,1,N/A
5112,Conservators and curators,A,51101,Conservators and curators,1,N/A
5113,Archivists,A,51102,Archivists,1,N/A
5121,Authors and writers,A,51111,Authors and writers (except technical),1,NOC 5121 was split. Job titles related to authors and writers moved from NOC 5121 to NOC 51111.
,,,51112,Technical writers,1,NOC 5121 was split. Job titles related to technical writer moved from NOC 5121 to NOC 51112.
5122,Editors,A,51110,Editors,1,N/A
5123,Journalists,A,51113,Journalists,1,N/A
5125,"Translators, terminologists and interpreters",A,51114,"Translators, terminologists and interpreters",1,N/A
5131,"Producers, directors, choreographers and related occupations",A,51120,"Producers, directors, choreographers and related occupations",1,N/A
5132,"Conductors, composers and arrangers",A,51121,"Conductors, composers and arrangers",1,N/A
5133,Musicians and singers,A,51122,Musicians and singers,1,N/A
5134,Dancers,A,53120,Dancers,3,N/A
5135,Actors and comedians,A,53121,"Actors, comedians and circus performers",3,N/A
5136,"Painters, sculptors and other visual artists",A,53122,"Painters, sculptors and other visual artists",3,N/A
5211,Library and public archive technicians,B,52100,Library and public archive technicians,2,N/A
5212,Technical occupations related to museums and art galleries,B,53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",3,N/A
5221,Photographers,B,53110,Photographers,3,N/A
5222,Film and video camera operators,B,52110,Film and video camera operators,2,N/A
5223,Graphic arts technicians,B,52111,Graphic arts technicians,2,N/A
5224,Broadcast technicians,B,52112,Broadcast technicians,2,N/A
5225,Audio and video recording technicians,B,52113,Audio and video recording technicians,2,N/A
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",B,52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",2,N/A
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",B,53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators",3,N/A
5231,Announcers and other broadcasters,B,52114,Announcers and other broadcasters,2,N/A
5232,"Other performers, n.e.c.",B,55109,Other performers,5,NOC 5232 was split. Job titles related to other performers moved from NOC 5232 to NOC 55109.
,,,53121,"Actors, comedians and circus performers",3,NOC 5232 was split. Job titles related to circus performance moved from NOC 5232 to NOC 53121.
5241,Graphic designers and illustrators,B,52120,Graphic designers and illustrators,2,N/A
5242,Interior designers and interior decorators,B,52121,Interior designers and interior decorators,2,N/A
6211,Retail sales supervisors,B,62010,Retail sales supervisors,2,N/A
5243,"Theatre, fashion, exhibit and other creative designers",B,53123,"Theatre, fashion, exhibit and other creative designers",3,"NOC 5234 was split. Job titles related to theatre, fashion, exhibit and other creative designers moved from NOC 5234 to NOC 53123."
,,,62010,Retail sales supervisors,2,"NOC 5234 was split. Job titles ""display designer supervisor"" and ""display design supervisor"" moved from NOC 5243 to NOC 62010."
,,,64100,Retail salespersons and visual merchandisers,4,"NOC 5234 was split. Job titles related to display design, styling, and visual merchandising moved from NOC 5243 to NOC 64100."
5244,Artisans and craftspersons,B,53124,Artisans and craftspersons,3,N/A
5245,"Patternmakers - textile, leather and fur products",B,53125,"Patternmakers - textile, leather and fur products",3,N/A
5251,Athletes,B,53200,Athletes,3,N/A
5252,Coaches,B,53201,Coaches,3,N/A
5253,Sports officials and referees,B,53202,Sports officials and referees,3,N/A
5254,"Program leaders and instructors in recreation, sport and fitness",B,54100,"Program leaders and instructors in recreation, sport and fitness",4,N/A
601,Corporate sales managers,A,60010,Corporate sales managers,0,N/A
621,Retail and wholesale trade managers,A,60020,Retail and wholesale trade managers,0,N/A
631,Restaurant and food service managers,A,60030,Restaurant and food service managers,0,N/A
632,Accommodation service managers,A,60031,Accommodation service managers,0,N/A
651,"Managers in customer and personal services, n.e.c.",A,60040,Managers in customer and personal services,0,N/A
714,Facility operation and maintenance managers,A,70012,Facility operation and maintenance managers,0,N/A
7452,Material handlers,C,75101,Material handlers,5,N/A
6221,Technical sales specialists - wholesale trade,B,62100,Technical sales specialists - wholesale trade,2,NOC 6221 was split. Job titles related to technical sales specialists in wholesale trade moved from NOC 6221 to NOC 62100.
,,,70012,Facility operation and maintenance managers,0,"NOC 6221 was split. Job titles ""Grain elevator district manager"", ""grain elevator manager"", and ""assistant grain elevator manager"" moved from NOC 6221 to NOC 70012."
,,,75101,Material handlers,5,"NOC 6221 was split. Job title ""grain elevator operator"" moved from NOC 6221 to NOC 75101."
6222,Retail and wholesale buyers,B,62101,Retail and wholesale buyers,2,N/A
6231,Insurance agents and brokers,B,63100,Insurance agents and brokers,3,N/A
6232,Real estate agents and salespersons,B,63101,Real estate agents and salespersons,3,N/A
6235,Financial sales representatives,B,63102,Financial sales representatives,3,N/A
6311,Food service supervisors,B,62020,Food service supervisors,2,N/A
6312,Executive housekeepers,B,62021,Executive housekeepers,2,N/A
6313,"Accommodation, travel, tourism and related services supervisors",B,62022,"Accommodation, travel, tourism and related services supervisors",2,N/A
6314,Customer and information services supervisors,B,62023,Customer and information services supervisors,2,N/A
6315,Cleaning supervisors,B,62024,Cleaning supervisors,2,N/A
6722,"Operators and attendants in amusement, recreation and sport",D,65211,"Operators and attendants in amusement, recreation and sport",5,N/A
6316,Other services supervisors,B,62029,Other services supervisors,2,NOC 6316 was split. Job titles related to other services supervisors moved from NOC 6316 to NOC 62029.
,,,65211,"Operators and attendants in amusement, recreation and sport",5,"NOC 6316 was split. Job titles ""Park supervisor"", ""Rink supervisor"", and ""Campground supervisor"" moved from NOC 6316 to NOC 65211."
6321,Chefs,B,62200,Chefs,2,N/A
6322,Cooks,B,63200,Cooks,3,N/A
6331,"Butchers, meat cutters and fishmongers - retail and wholesale",B,63201,Butchers - retail and wholesale,3,NOC 6331 was split. Job titles related to butchers moved from NOC 6331 to new NOC 63201.
,,,65202,Meat cutters and fishmongers - retail and wholesale,5,NOC 6331 was split. Job titles related to meat cutters and fishmongers moved from NOC 6331 to NOC 65202.
6332,Bakers,B,63202,Bakers,3,N/A
6341,Hairstylists and barbers,B,63210,Hairstylists and barbers,3,N/A
6342,"Tailors, dressmakers, furriers and milliners",B,64200,"Tailors, dressmakers, furriers and milliners",4,N/A
6343,Shoe repairers and shoemakers,B,63220,Shoe repairers and shoemakers,3,N/A
6344,"Jewellers, jewellery and watch repairers and related occupations",B,62202,"Jewellers, jewellery and watch repairers and related occupations",2,N/A
6345,Upholsterers,B,63221,Upholsterers,3,N/A
6346,Funeral directors and embalmers,B,62201,Funeral directors and embalmers,2,N/A
6411,Sales and account representatives - wholesale trade (non-technical),C,64101,Sales and account representatives - wholesale trade (non-technical),4,NOC 6411 was split. Job titles related to sales and account representatives of wholesale trade (non-technical) moved from NOC 6411 to NOC 64101.
,,,62100,Technical sales specialists - wholesale trade,2,"NOC 6411 was split. Job titles ""grain merchandiser"" and ""livestock sales representative – wholesale"" moved from NOC 6411 to NOC 62100."
6421,Retail salespersons,C,64100,Retail salespersons and visual merchandisers,4,N/A
6511,Maîtres d'hôtel and hosts / hostesses,C,64300,Maîtres d'hôtel and hosts / hostesses,4,N/A
6512,Bartenders,C,64301,Bartenders,4,N/A
6513,Food and beverage servers,C,65200,Food and beverage servers,5,N/A
6521,Travel counsellors,C,64310,Travel counsellors,4,N/A
6522,Pursers and flight attendants,C,64311,Pursers and flight attendants,4,N/A
6523,Airline ticket and service agents,C,64312,Airline ticket and service agents,4,N/A
6524,"Ground and water transport ticket agents, cargo service representatives and related clerks",C,64313,"Ground and water transport ticket agents, cargo service representatives and related clerks",4,N/A
6525,Hotel front desk clerks,C,64314,Hotel front desk clerks,4,N/A
6531,Tour and travel guides,C,64320,Tour and travel guides,4,N/A
6532,Outdoor sport and recreational guides,C,64322,Outdoor sport and recreational guides,4,N/A
6533,Casino workers,C,64321,Casino workers,4,N/A
6541,Security guards and related security service occupations,C,64410,Security guards and related security service occupations,4,NOC 6541 was split. Job titles related to security service occupations moved from NOC 6541 to NOC 64410.
,,,45100,"Student monitors, crossing guards and related occupations",5,"NOC 6541 was split. Job titles ""School crossing guard"", and ""crossing guard"" moved from NOC 6541 to NOC 45100."
,,,65329,Other service support occupations,5,"NOC 6541 was split. Job title ""mystery shopper"" moved from NOC 6541 to NOC 65329."
6551,Customer services representatives - financial institutions,C,64400,Customer services representatives - financial institutions,4,N/A
6561,"Image, social and other personal consultants",C,64201,"Image, social and other personal consultants",4,N/A
6562,"Estheticians, electrologists and related occupations",C,63211,"Estheticians, electrologists and related occupations",3,N/A
6563,Pet groomers and animal care workers,C,65220,Pet groomers and animal care workers,5,N/A
6564,Other personal service occupations,C,65229,Other support occupations in personal services,5,N/A
6611,Cashiers,D,65100,Cashiers,5,N/A
6621,Service station attendants,D,65101,Service station attendants,5,N/A
6622,"Store shelf stockers, clerks and order fillers",D,65102,"Store shelf stockers, clerks and order fillers",5,N/A
6623,Other sales related occupations,D,65109,Other sales related occupations,5,N/A
6711,"Food counter attendants, kitchen helpers and related support occupations",D,65201,"Food counter attendants, kitchen helpers and related support occupations",5,N/A
6721,"Support occupations in accommodation, travel and facilities set-up services",D,65210,"Support occupations in accommodation, travel and facilities set-up services",5,N/A
6732,Specialized cleaners,D,65311,Specialized cleaners,5,N/A
6733,"Janitors, caretakers and building superintendents",D,65312,"Janitors, caretakers and heavy-duty cleaners",5,"NOC 6733 was split. Job titles related to janitors, caretakers and heavy-duty cleaners moved from NOC 6733 to NOC 65312."
,,,73201,General building maintenance workers and building superintendents,3,NOC 6733 was split. Job titles related to building superintendent and maintenance work moved from NOC 6733 to NOC 73201.
6741,"Dry cleaning, laundry and related occupations",D,65320,"Dry cleaning, laundry and related occupations",5,N/A
6742,"Other service support occupations, n.e.c.",D,65329,Other service support occupations,5,N/A
711,Construction managers,A,70010,Construction managers,0,N/A
712,Home building and renovation managers,A,70011,Home building and renovation managers,0,N/A
731,Managers in transportation,A,70020,Managers in transportation,0,N/A
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",B,72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",2,N/A
7202,"Contractors and supervisors, electrical trades and telecommunications occupations",B,72011,"Contractors and supervisors, electrical trades and telecommunications occupations",2,N/A
7203,"Contractors and supervisors, pipefitting trades",B,72012,"Contractors and supervisors, pipefitting trades",2,N/A
7204,"Contractors and supervisors, carpentry trades",B,72013,"Contractors and supervisors, carpentry trades",2,N/A
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",B,72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers",2,N/A
7231,Machinists and machining and tooling inspectors,B,72100,Machinists and machining and tooling inspectors,2,N/A
7232,Tool and die makers,B,72101,Tool and die makers,2,N/A
7233,Sheet metal workers,B,72102,Sheet metal workers,2,N/A
7234,Boilermakers,B,72103,Boilermakers,2,N/A
7235,Structural metal and platework fabricators and fitters,B,72104,Structural metal and platework fabricators and fitters,2,N/A
7236,Ironworkers,B,72105,Ironworkers,2,N/A
7237,Welders and related machine operators,B,72106,Welders and related machine operators,2,N/A
7241,Electricians (except industrial and power system),B,72200,Electricians (except industrial and power system),2,N/A
7242,Industrial electricians,B,72201,Industrial electricians,2,N/A
7243,Power system electricians,B,72202,Power system electricians,2,N/A
7244,Electrical power line and cable workers,B,72203,Electrical power line and cable workers,2,N/A
7245,Telecommunications line and cable workers,B,72204,Telecommunications line and cable installers and repairers,2,N/A
7246,Telecommunications installation and repair workers,B,72205,Telecommunications equipment installation and cable television service technicians,2,N/A
7247,Cable television service and maintenance technicians,B,72204,Telecommunications line and cable installers and repairers,2,NOC 7247 was split. Job titles related to cable television maintenance technician moved from NOC 7247 to NOC 72204.
,,,72205,Telecommunications equipment installation and cable television service technicians,2,NOC 7247 was split. Job titles related to distribution systems and cable television service technicians moved from NOC 7247 to NOC 72205.
7251,Plumbers,B,72300,Plumbers,2,N/A
7252,"Steamfitters, pipefitters and sprinkler system installers",B,72301,"Steamfitters, pipefitters and sprinkler system installers",2,N/A
7253,Gas fitters,B,72302,Gas fitters,2,N/A
7271,Carpenters,B,72310,Carpenters,2,N/A
7272,Cabinetmakers,B,72311,Cabinetmakers,2,N/A
7281,Bricklayers,B,72320,Bricklayers,2,N/A
7282,Concrete finishers,B,73100,Concrete finishers,3,N/A
7283,Tilesetters,B,73101,Tilesetters,3,N/A
7284,"Plasterers, drywall installers and finishers and lathers",B,73102,"Plasterers, drywall installers and finishers and lathers",3,N/A
7291,Roofers and shinglers,B,73110,Roofers and shinglers,3,N/A
7292,Glaziers,B,73111,Glaziers,3,N/A
7293,Insulators,B,72321,Insulators,2,N/A
7294,Painters and decorators (except interior decorators),B,73112,Painters and decorators (except interior decorators),3,N/A
7295,Floor covering installers,B,73113,Floor covering installers,3,N/A
7301,"Contractors and supervisors, mechanic trades",B,72020,"Contractors and supervisors, mechanic trades",2,N/A
7302,"Contractors and supervisors, heavy equipment operator crews",B,72021,"Contractors and supervisors, heavy equipment operator crews",2,N/A
7303,"Supervisors, printing and related occupations",B,72022,"Supervisors, printing and related occupations",2,N/A
7304,"Supervisors, railway transport operations",B,72023,"Supervisors, railway transport operations",2,N/A
7305,"Supervisors, motor transport and other ground transit operators",B,72024,"Supervisors, motor transport and other ground transit operators",2,N/A
7311,Construction millwrights and industrial mechanics,B,72400,Construction millwrights and industrial mechanics,2,N/A
7312,Heavy-duty equipment mechanics,B,72401,Heavy-duty equipment mechanics,2,N/A
7313,"Heating, refrigeration and air conditioning mechanics",B,72402,"Heating, refrigeration and air conditioning mechanics",2,N/A
7314,Railway carmen / women,B,72403,Railway carmen / women,2,N/A
7315,Aircraft mechanics and aircraft inspectors,B,72404,Aircraft mechanics and aircraft inspectors,2,N/A
7316,Machine fitters,B,72405,Machine fitters,2,N/A
7318,Elevator constructors and mechanics,B,72406,Elevator constructors and mechanics,2,N/A
7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",B,72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers",2,N/A
7322,Motor vehicle body repairers,B,72411,"Auto body collision, refinishing and glass technicians and damage repair estimators",2,N/A
7331,Oil and solid fuel heating mechanics,B,72420,Oil and solid fuel heating mechanics,2,N/A
7332,Appliance servicers and repairers,B,72421,Appliance servicers and repairers,2,N/A
7333,Electrical mechanics,B,72422,Electrical mechanics,2,N/A
7334,"Motorcycle, all-terrain vehicle and other related mechanics",B,72423,"Motorcycle, all-terrain vehicle and other related mechanics",2,N/A
7335,Other small engine and small equipment repairers,B,72429,Other small engine and small equipment repairers,2,N/A
7361,Railway and yard locomotive engineers,B,73310,Railway and yard locomotive engineers,3,N/A
7362,Railway conductors and brakemen / women,B,73311,Railway conductors and brakemen / women,3,N/A
7611,Construction trades helpers and labourers,D,75110,Construction trades helpers and labourers,5,N/A
7371,Crane operators,B,72500,Crane operators,2,NOC 7371 was split. Job titles related to crane operators moved from NOC 7371 to NOC 72500.
,,,75110,Construction trades helpers and labourers,5,NOC 7371 was split. Job titles related to rigging moved from NOC 7371 to NOC 75100.
7372,"Drillers and blasters - surface mining, quarrying and construction",B,73402,"Drillers and blasters - surface mining, quarrying and construction",3,N/A
7373,Water well drillers,B,72501,Water well drillers,2,N/A
7381,Printing press operators,B,73401,Printing press operators,3,N/A
7384,"Other trades and related occupations, n.e.c.",B,72999,Other technical trades and related occupations,2,NOC 7384 was split. Job titles related to other technical trades and related occupations moved from NOC 7384 to NOC 72999.
,,,72423,"Motorcycle, all-terrain vehicle and other related mechanics",2,"NOC 7384 was split. Job titles related to recreation and vehicle mechanic, repairer, and service technician moved from NOC 7384 to NOC 72423."
7441,Residential and commercial installers and servicers,C,73200,Residential and commercial installers and servicers,3,N/A
7442,Waterworks and gas maintenance workers,C,74204,Utility maintenance workers,4,N/A
7444,Pest controllers and fumigators,C,73202,Pest controllers and fumigators,3,N/A
7445,Other repairers and servicers,C,73209,Other repairers and servicers,3,NOC 7445 was split. Job title related to other repairers and servicers moved from NOC 7445 to NOC 73209.
,,,22311,Electronic service technicians (household and business equipment),2,"NOC 7445 was split. Job title ""Security systems technician"" moved from NOC 7445 to NOC 22311."
7451,Longshore workers,C,75100,Longshore workers,5,N/A
7511,Transport truck drivers,C,73300,Transport truck drivers,3,N/A
7512,"Bus drivers, subway operators and other transit operators",C,73301,"Bus drivers, subway operators and other transit operators",3,N/A
7513,Taxi and limousine drivers and chauffeurs,C,75200,Taxi and limousine drivers and chauffeurs,5,N/A
7514,Delivery and courier service drivers,C,75201,Delivery service drivers and door-to-door distributors,5,NOC 7514 was split. Job titles related to delivery service drivers and door-to-door distributors moved from NOC 7514 to NOC 75201.
,,,74102,Couriers and messengers,4,NOC 7514 was split. Job titles related to courier service drivers moved from NOC 7514 to NOC 74102.
7521,Heavy equipment operators (except crane),C,73400,Heavy equipment operators,3,N/A
7522,Public works maintenance equipment operators and related workers,C,74205,Public works maintenance equipment operators and related workers,4,NOC 7522 was split. Job titles related to public works maintenance equipment operators and related workers moved from NOC 7522 to NOC 74205.
,,,74204,Utility maintenance workers,4,NOC 7522 was split. Job titles related to utility and power pole inspection moved from NOC 7522 to NOC 74204.
7531,Railway yard and track maintenance workers,C,74200,Railway yard and track maintenance workers,4,N/A
7532,Water transport deck and engine room crew,C,74201,Water transport deck and engine room crew,4,N/A
7533,Boat and cable ferry operators and related occupations,C,75210,Boat and cable ferry operators and related occupations,5,N/A
7535,Other automotive mechanical installers and servicers,C,74203,Automotive and heavy truck and equipment parts installers and servicers,4,N/A
7612,Other trades helpers and labourers,D,75119,Other trades helpers and labourers,5,N/A
7621,Public works and maintenance labourers,D,75212,Public works and maintenance labourers,5,N/A
7622,Railway and motor transport labourers,D,75211,Railway and motor transport labourers,5,N/A
811,Managers in natural resources production and fishing,A,80010,Managers in natural resources production and fishing,0,N/A
821,Managers in agriculture,A,80020,Managers in agriculture,0,N/A
822,Managers in horticulture,A,80021,Managers in horticulture,0,N/A
823,Managers in aquaculture,A,80022,Managers in aquaculture,0,N/A
8211,"Supervisors, logging and forestry",B,82010,"Supervisors, logging and forestry",2,N/A
8221,"Supervisors, mining and quarrying",B,82020,"Supervisors, mining and quarrying",2,N/A
8222,"Contractors and supervisors, oil and gas drilling and services",B,82021,"Contractors and supervisors, oil and gas drilling and services",3,N/A
8231,Underground production and development miners,B,83100,Underground production and development miners,3,N/A
8232,"Oil and gas well drillers, servicers, testers and related workers",B,83101,"Oil and gas well drillers, servicers, testers and related workers",3,N/A
8241,Logging machinery operators,B,83110,Logging machinery operators,3,N/A
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",B,72600,"Air pilots, flight engineers and flying instructors",2,"NOC 8252 was split. Job title ""Aerial crop dusting service contractor"" moved from NOC 8252 to NOC 72600."
,,,82030,Agricultural service contractors and farm supervisors,2,NOC 8252 was split. Job titles related to agricultural service contractors and farm supervisors moved from NOC 8252 to NOC 82030.
,,,84120,Specialized livestock workers and farm machinery operators,4,NOC 8252 was split. Job titles related to specialized livestock work moved from NOC 8252 to NOC 84120.
,,,85100,Livestock labourers,5,"NOC 8252 was split. Job title ""Feedlot herd attendant"" moved from NOC 8252 to NOC 85100."
8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",B,82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",2,N/A
8261,Fishing masters and officers,B,83120,Fishing masters and officers,3,N/A
8262,Fishermen / women,B,83121,Fishermen / women,3,N/A
8411,Underground mine service and support workers,C,84100,Underground mine service and support workers,4,N/A
8412,Oil and gas well drilling and related workers and services operators,C,84101,Oil and gas well drilling and related workers and services operators,4,N/A
8421,Chain saw and skidder operators,C,84110,Chain saw and skidder operators,4,N/A
8422,Silviculture and forestry workers,C,84111,Silviculture and forestry workers,4,N/A
8611,Harvesting labourers,D,85101,Harvesting labourers,5,N/A
8431,General farm workers,C,85100,Livestock labourers,5,NOC 8431 was split. Job titles related to livestock labourer moved from NOC 8431 to NOC 85100.
,,,85101,Harvesting labourers,4,NOC 8431 was split. Job titles related to harvesting labourer moved from NOC 8431 to NOC 85101.
,,,84120,Specialized livestock workers and farm machinery operators,4,NOC 8431 was split. Job titles related to farm machinery operation moved from NOC 8431 to NOC 84120.
8432,Nursery and greenhouse workers,C,85103,Nursery and greenhouse labourers,5,N/A
8441,Fishing vessel deckhands,C,84121,Fishing vessel deckhands,4,N/A
8442,Trappers and hunters,C,85104,Trappers and hunters,5,N/A
8612,Landscaping and grounds maintenance labourers,D,85121,Landscaping and grounds maintenance labourers,5,N/A
8613,Aquaculture and marine harvest labourers,D,85102,Aquaculture and marine harvest labourers,5,N/A
8614,Mine labourers,D,85110,Mine labourers,5,N/A
8615,"Oil and gas drilling, servicing and related labourers",D,85111,"Oil and gas drilling, servicing and related labourers",5,N/A
8616,Logging and forestry labourers,D,85120,Logging and forestry labourers,5,N/A
911,Manufacturing managers,A,90010,Manufacturing managers,0,N/A
912,Utilities managers,A,90011,Utilities managers,0,N/A
9211,"Supervisors, mineral and metal processing",B,92010,"Supervisors, mineral and metal processing",2,N/A
9212,"Supervisors, petroleum, gas and chemical processing and utilities",B,92011,"Supervisors, petroleum, gas and chemical processing and utilities",2,N/A
9213,"Supervisors, food and beverage processing",B,92012,"Supervisors, food and beverage processing",2,N/A
9214,"Supervisors, plastic and rubber products manufacturing",B,92013,"Supervisors, plastic and rubber products manufacturing",2,N/A
9215,"Supervisors, forest products processing",B,92014,"Supervisors, forest products processing",2,N/A
9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",B,92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",2,N/A
9221,"Supervisors, motor vehicle assembling",B,92020,"Supervisors, motor vehicle assembling",2,N/A
9222,"Supervisors, electronics manufacturing",B,92021,"Supervisors, electronics and electrical products manufacturing",2,NOC 9222 merged with NOC 9223 to create NOC 92021.
9223,"Supervisors, electrical products manufacturing",B,92021,"Supervisors, electronics and electrical products manufacturing",2,NOC 9223 merged with NOC 9222 to create NOC 92021.
9224,"Supervisors, furniture and fixtures manufacturing",B,92022,"Supervisors, furniture and fixtures manufacturing",2,N/A
9226,"Supervisors, other mechanical and metal products manufacturing",B,92023,"Supervisors, other mechanical and metal products manufacturing",2,N/A
9227,"Supervisors, other products manufacturing and assembly",B,92024,"Supervisors, other products manufacturing and assembly",2,N/A
9231,"Central control and process operators, mineral and metal processing",B,93100,"Central control and process operators, mineral and metal processing",3,N/A
9232,"Central control and process operators, petroleum, gas and chemical processing",B,93101,"Central control and process operators, petroleum, gas and chemical processing",3,N/A
9235,"Pulping, papermaking and coating control operators",B,93102,"Pulping, papermaking and coating control operators",3,N/A
9241,Power engineers and power systems operators,B,92100,Power engineers and power systems operators,2,N/A
9243,Water and waste treatment plant operators,B,92101,Water and waste treatment plant operators,2,N/A
9411,"Machine operators, mineral and metal processing",C,94100,"Machine operators, mineral and metal processing",4,N/A
9412,Foundry workers,C,94101,Foundry workers,4,N/A
9413,Glass forming and finishing machine operators and glass cutters,C,94102,Glass forming and finishing machine operators and glass cutters,4,N/A
9414,"Concrete, clay and stone forming operators",C,94103,"Concrete, clay and stone forming operators",4,N/A
9415,"Inspectors and testers, mineral and metal processing",C,94104,"Inspectors and testers, mineral and metal processing",4,N/A
9416,Metalworking and forging machine operators,C,94105,Metalworking and forging machine operators,4,N/A
9417,Machining tool operators,C,94106,Machining tool operators,4,N/A
9418,Other metal products machine operators,C,94107,Machine operators of other metal products,4,N/A
9613,Labourers in chemical products processing and utilities,D,95102,Labourers in chemical products processing and utilities,5,N/A
9421,Chemical plant machine operators,C,94110,Chemical plant machine operators,4,NOC 9421 was split. Job titles related to chemical plant machine operators moved from NOC 9421 to NOC 94110.
,,,95102,Labourers in chemical products processing and utilities,5,"NOC 9421 was split. Job title ""Ring furnace operator helper"" moved from NOC 9421 to NOC 95102."
9422,Plastics processing machine operators,C,94111,Plastics processing machine operators,4,N/A
9423,Rubber processing machine operators and related workers,C,94112,Rubber processing machine operators and related workers,4,N/A
9431,Sawmill machine operators,C,94120,Sawmill machine operators,4,N/A
9432,Pulp mill machine operators,C,94121,"Pulp mill, papermaking and finishing machine operators",4,NOC 9432 merged with NOC 9433 to create NOC 94121.
9433,Papermaking and finishing machine operators,C,94121,"Pulp mill, papermaking and finishing machine operators",4,NOC 9433 merged with NOC 9432 to create NOC 94121.
9434,Other wood processing machine operators,C,94129,Other wood processing machine operators,4,N/A
9435,Paper converting machine operators,C,94122,Paper converting machine operators,4,N/A
9436,Lumber graders and other wood processing inspectors and graders,C,94123,Lumber graders and other wood processing inspectors and graders,4,N/A
9437,Woodworking machine operators,C,94124,Woodworking machine operators,4,N/A
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",C,94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers",4,"NOC 9441 was split. Job titles related to textile fibre and yarn, hide and pelt processing machine operators and workers moved from NOC 9441 to NOC 94130."
,,,95105,Labourers in textile processing and cutting,5,"NOC 9441 was split. Job title ""Cloth-printing machine helper"" moved from NOC 9441 to NOC 95105."
9442,"Weavers, knitters and other fabric making occupations",C,94131,"Weavers, knitters and other fabric making occupations",4,N/A
9445,"Fabric, fur and leather cutters",C,95105,Labourers in textile processing and cutting,5,NOC 9445 merged with NOC 9616 to create NOC 95105.
9446,Industrial sewing machine operators,C,94132,Industrial sewing machine operators,4,N/A
9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",C,94133,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",4,N/A
9461,"Process control and machine operators, food and beverage processing",C,94140,"Process control and machine operators, food and beverage processing",4,N/A
9462,"Industrial butchers and meat cutters, poultry preparers and related workers",C,94141,"Industrial butchers and meat cutters, poultry preparers and related workers",4,N/A
9463,Fish and seafood plant workers,C,94142,Fish and seafood plant workers,4,N/A
9465,"Testers and graders, food and beverage processing",C,94143,"Testers and graders, food and beverage processing",4,N/A
9471,Plateless printing equipment operators,C,94150,Plateless printing equipment operators,4,N/A
9472,"Camera, platemaking and other prepress occupations",C,94151,"Camera, platemaking and other prepress occupations",4,N/A
9473,Binding and finishing machine operators,C,94152,Binding and finishing machine operators,4,N/A
9474,Photographic and film processors,C,94153,Photographic and film processors,4,N/A
9521,Aircraft assemblers and aircraft assembly inspectors,C,93200,Aircraft assemblers and aircraft assembly inspectors,3,N/A
9522,"Motor vehicle assemblers, inspectors and testers",C,94200,"Motor vehicle assemblers, inspectors and testers",4,N/A
