NOC 2021 Code (5-digit),NOC 2021 Label,NOC 2021 TEER,NOC 2016 Code (4-digit),NOC 2016 Label,NOC 2016 Skill level,Description
50010,"Library, archive, museum and art gallery managers",0,511,"Library, archive, museum and art gallery managers",Management / A,N/A
50011,"Managers - publishing, motion pictures, broadcasting and performing arts",0,512,"Managers - publishing, motion pictures, broadcasting and performing arts",Management / A,N/A
50012,"Recreation, sports and fitness program and service directors",0,513,"Recreation, sports and fitness program and service directors",Management / A,N/A
51100,Librarians,1,5111,Librarians,A,N/A
51101,Conservators and curators,1,5112,Conservators and curators,A,N/A
51102,Archivists,1,5113,Archivists,A,N/A
51110,Editors,1,5122,Editors,A,N/A
51111,Authors and writers (except technical),1,5121,Authors and writers,A,NOC 5121 was split. Job titles related to authors and writers moved from NOC 5121 to NOC 51111.
51112,Technical writers,1,5121,Authors and writers,A,NOC 5121 was split. Job titles related to technical writer moved from NOC 5121 to NOC 51112.
51113,Journalists,1,5123,Journalists,A,N/A
51114,"Translators, terminologists and interpreters",1,5125,"Translators, terminologists and interpreters",A,N/A
51120,"Producers, directors, choreographers and related occupations",1,5131,"Producers, directors, choreographers and related occupations",A,N/A
51121,"Conductors, composers and arrangers",1,5132,"Conductors, composers and arrangers",A,N/A
51122,Musicians and singers,1,5133,Musicians and singers,A,N/A
52100,Library and public archive technicians,2,5211,Library and public archive technicians,B,N/A
52110,Film and video camera operators,2,5222,Film and video camera operators,B,N/A
52111,Graphic arts technicians,2,5223,Graphic arts technicians,B,N/A
52112,Broadcast technicians,2,5224,Broadcast technicians,B,N/A
52113,Audio and video recording technicians,2,5225,Audio and video recording technicians,B,N/A
52114,Announcers and other broadcasters,2,5231,Announcers and other broadcasters,B,N/A
52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",2,5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",B,N/A
52120,Graphic designers and illustrators,2,5241,Graphic designers and illustrators,B,N/A
52121,Interior designers and interior decorators,2,5242,Interior designers and interior decorators,B,N/A
53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",3,5212,Technical occupations related to museums and art galleries,B,N/A
53110,Photographers,3,5221,Photographers,B,N/A
53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators",3,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",B,N/A
53120,Dancers,3,5134,Dancers,A,N/A
53121,"Actors, comedians and circus performers",3,5135,Actors and comedians,A,Job titles related to actors and comedians moved from NOC 5135 to NOC 53121.
,,,5232,"Other performers, nec",B,NOC 5232 was split. Job titles related to circus performance moved from NOC 5232 to NOC 53121.
53122,"Painters, sculptors and other visual artists",3,5136,"Painters, sculptors and other visual artists",A,N/A
53123,"Theatre, fashion, exhibit and other creative designers",3,5243,"Theatre, fashion, exhibit and other creative designers",B,"NOC 5234 was split. Job titles related to theatre, fashion, exhibit and other creative designers moved from NOC 5234 to NOC 53123."
53124,Artisans and craftspersons,3,5244,Artisans and craftspersons,B,N/A
53125,"Patternmakers - textile, leather and fur products",3,5245,"Patternmakers - textile, leather and fur products",B,N/A
53200,Athletes,3,5251,Athletes,B,N/A
53201,Coaches,3,5252,Coaches,B,N/A
53202,Sports officials and referees,3,5253,Sports officials and referees,B,N/A
54100,"Program leaders and instructors in recreation, sport and fitness",4,5254,"Program leaders and instructors in recreation, sport and fitness",B,N/A
55109,Other performers,5,5232,"Other performers, nec",B,NOC 5232 was split. Job titles related to other performers moved from NOC 5232 to NOC 55109.
60010,Corporate sales managers,0,601,Corporate sales managers,Management / A,N/A
60020,Retail and wholesale trade managers,0,621,Retail and wholesale trade managers,Management / A,N/A
60030,Restaurant and food service managers,0,631,Restaurant and food service managers,Management / A,N/A
60031,Accommodation service managers,0,632,Accommodation service managers,Management / A,N/A
60040,Managers in customer and personal services,0,651,"Managers in customer and personal services, nec",Management / A,N/A
62010,Retail sales supervisors,2,5243,"Theatre, fashion, exhibit and other creative designers",B,"NOC 5234 was split. Job titles ""display designer supervisor"" and ""display design supervisor"" moved from NOC 5243 to NOC 62010."
,,,6211,Retail sales supervisors,B,Job titles related to retail sales supervisors moved from NOC 6211 to NOC 62010.
62020,Food service supervisors,2,6311,Food service supervisors,B,N/A
62021,Executive housekeepers,2,6312,Executive housekeepers,B,N/A
62022,"Accommodation, travel, tourism and related services supervisors",2,6313,"Accommodation, travel, tourism and related services supervisors",B,N/A
62023,Customer and information services supervisors,2,6314,Customer and information services supervisors,B,N/A
62024,Cleaning supervisors,2,6315,Cleaning supervisors,B,N/A
62029,Other services supervisors,2,6316,Other services supervisors,B,NOC 6316 was split. Job titles related to other services supervisors moved from NOC 6316 to NOC 62029.
62100,Technical sales specialists - wholesale trade,2,6221,Technical sales specialists - wholesale trade,B,NOC 6221 was split. Job titles related to technical sales specialists in wholesale trade moved from NOC 6221 to NOC 62100.
,,,6411,Sales and account representatives - wholesale trade (non-technical),C,"NOC 6411 was split. Job titles ""grain merchandiser"" and ""livestock sales representative – wholesale"" moved from NOC 6411 to NOC 62100."
62101,Retail and wholesale buyers,2,6222,Retail and wholesale buyers,B,N/A
62200,Chefs,2,6321,Chefs,B,N/A
62201,Funeral directors and embalmers,2,6346,Funeral directors and embalmers,B,N/A
62202,"Jewellers, jewellery and watch repairers and related occupations",2,6344,"Jewellers, jewellery and watch repairers and related occupations",B,N/A
63100,Insurance agents and brokers,3,6231,Insurance agents and brokers,B,N/A
63101,Real estate agents and salespersons,3,6232,Real estate agents and salespersons,B,N/A
63102,Financial sales representatives,3,6235,Financial sales representatives,B,N/A
63200,Cooks,3,6322,Cooks,B,N/A
63201,Butchers - retail and wholesale,3,6331,"Butchers, meat cutters and fishmongers - retail and wholesale",B,NOC 6331 was spilt. Job titles related to butcher moved from NOC 6331 to new NOC 63201
63202,Bakers,3,6332,Bakers,B,N/A
63210,Hairstylists and barbers,3,6341,Hairstylists and barbers,B,N/A
63211,"Estheticians, electrologists and related occupations",3,6562,"Estheticians, electrologists and related occupations",C,N/A
63220,Shoe repairers and shoemakers,3,6343,Shoe repairers and shoemakers,B,N/A
63221,Upholsterers,3,6345,Upholsterers,B,N/A
64100,Retail salespersons and visual merchandisers,4,5243,"Theatre, fashion, exhibit and other creative designers",B,"NOC 5234 was split. Job titles related to display design, styling, and visual merchandising moved from NOC 5243 to NOC 64100."
,,,6421,Retail salespersons,C,Job titles related to retail salespersons moved from NOC 6421 to NOC 64100.
64101,Sales and account representatives - wholesale trade (non-technical),4,6411,Sales and account representatives - wholesale trade (non-technical),C,NOC 6411 was split. Job titles related to sales and account representatives of wholesale trade (non-technical) moved from NOC 6411 to NOC 64101.
64200,"Tailors, dressmakers, furriers and milliners",4,6342,"Tailors, dressmakers, furriers and milliners",B,N/A
64201,"Image, social and other personal consultants",4,6561,"Image, social and other personal consultants",C,N/A
64300,Maîtres d'hôtel and hosts / hostesses,4,6511,Maîtres d'hôtel and hosts / hostesses,C,N/A
64301,Bartenders,4,6512,Bartenders,C,N/A
64310,Travel counsellors,4,6521,Travel counsellors,C,N/A
64311,Pursers and flight attendants,4,6522,Pursers and flight attendants,C,N/A
64312,Airline ticket and service agents,4,6523,Airline ticket and service agents,C,N/A
64313,"Ground and water transport ticket agents, cargo service representatives and related clerks",4,6524,"Ground and water transport ticket agents, cargo service representatives and related clerks",C,N/A
64314,Hotel front desk clerks,4,6525,Hotel front desk clerks,C,N/A
64320,Tour and travel guides,4,6531,Tour and travel guides,C,N/A
64321,Casino workers,4,6533,Casino workers,C,N/A
64322,Outdoor sport and recreational guides,4,6532,Outdoor sport and recreational guides,C,N/A
64400,Customer services representatives - financial institutions,4,6551,Customer services representatives - financial institutions,C,N/A
64401,Postal services representatives,4,1511,"Mail, postal and related workers",C,"NOC 1511 was split. Job titles related to postal clerks and workers moved from NOC 1511 to NOC 64401. Mail clerk and postal worker occupation was moved to services sector, BOC 6 (sales and service occupations)."
64409,Other customer and information services representatives,4,1123,"Professional occupations in advertising, marketing and public relations",A,"NOC 1123 was split. Job titles ""tourism information officer"" and ""tourism information technician"" moved from NOC 1123 to NOC 64409."
,,,6552,Other customer and information services representatives,C,Job titles related to other customer and information services representatives moved from NOC 6552 to NOC 64409.
64410,Security guards and related security service occupations,4,6541,Security guards and related security service occupations,C,NOC 6541 was split. Job titles related to security service occupations moved from NOC 6541 to NOC 64410.
65100,Cashiers,5,6611,Cashiers,D,N/A
65101,Service station attendants,5,6621,Service station attendants,D,N/A
65102,"Store shelf stockers, clerks and order fillers",5,6622,"Store shelf stockers, clerks and order fillers",D,N/A
65109,Other sales related occupations,5,6623,Other sales related occupations,D,N/A
65200,Food and beverage servers,5,6513,Food and beverage servers,C,N/A
65201,"Food counter attendants, kitchen helpers and related support occupations",5,6711,"Food counter attendants, kitchen helpers and related support occupations",D,N/A
65202,Meat cutters and fishmongers - retail and wholesale,5,6331,"Butchers, meat cutters and fishmongers - retail and wholesale",B,NOC 6331 was split. Job titles related to meat cutters and fishmongers moved from NOC 6331 to NOC 65202.
65210,"Support occupations in accommodation, travel and facilities set-up services",5,6721,"Support occupations in accommodation, travel and facilities set-up services",D,N/A
65211,"Operators and attendants in amusement, recreation and sport",5,6316,Other services supervisors,B,"NOC 6316 was split. Job titles ""Park supervisor"", ""Rink supervisor"", and ""Campground supervisor"" moved from NOC 6316 to NOC 65211."
,,,6722,"Operators and attendants in amusement, recreation and sport",D,"Job titles related to operators and attendants in amusement, recreation and sport moved from NOC 6722 to NOC 65211."
65220,Pet groomers and animal care workers,5,6563,Pet groomers and animal care workers,C,N/A
65229,Other support occupations in personal services,5,6564,Other personal service occupations,C,N/A
65310,Light duty cleaners,5,6731,Light duty cleaners,D,Job titles related to light duty cleaners moved from NOC 6731 to NOC 65310.
,,,4412,"Home support workers, housekeepers and related occupations",C,"NOC 4412 was split. Job titles ""Housekeepers"" and ""Domestic housekeepers"" moved from NOC 4412 to NOC 65310."
65311,Specialized cleaners,5,6732,Specialized cleaners,D,N/A
65312,"Janitors, caretakers and heavy-duty cleaners",5,6733,"Janitors, caretakers and building superintendents",D,"NOC 6733 was split. Job titles related to janitors, caretakers and heavy-duty cleaners moved from NOC 6733 to NOC 65312."
65320,"Dry cleaning, laundry and related occupations",5,6741,"Dry cleaning, laundry and related occupations",D,N/A
65329,Other service support occupations,5,6541,Security guards and related security service occupations,C,"NOC 6541 was split. Job title ""mystery shopper"" moved from NOC 6541 to NOC 65329."
,,,6742,"Other service support occupations, nec",D,Job titles related to other service support occupations moved from NOC 6742 to NOC 65329.
70010,Construction managers,0,711,Construction managers,Management / A,N/A
70011,Home building and renovation managers,0,712,Home building and renovation managers,Management / A,N/A
70012,Facility operation and maintenance managers,0,714,Facility operation and maintenance managers,Management / A,Job titles related to facility operation and maintenance managers moved from NOC 0714 to NOC 70012.
,,,6221,Technical sales specialists - wholesale trade,B,"NOC 6221 was split. Job titles ""Grain elevator district manager"", ""grain elevator manager"", and ""assistant grain elevator manager"" moved from NOC 6221 to NOC 70012."
70020,Managers in transportation,0,731,Managers in transportation,Management / A,N/A
70021,Postal and courier services managers,0,132,Postal and courier services managers,Management / A,"NOC 0132 moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",2,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",B,N/A
72011,"Contractors and supervisors, electrical trades and telecommunications occupations",2,7202,"Contractors and supervisors, electrical trades and telecommunications occupations",B,N/A
72012,"Contractors and supervisors, pipefitting trades",2,7203,"Contractors and supervisors, pipefitting trades",B,N/A
72013,"Contractors and supervisors, carpentry trades",2,7204,"Contractors and supervisors, carpentry trades",B,N/A
72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers",2,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",B,N/A
72020,"Contractors and supervisors, mechanic trades",2,7301,"Contractors and supervisors, mechanic trades",B,N/A
72021,"Contractors and supervisors, heavy equipment operator crews",2,7302,"Contractors and supervisors, heavy equipment operator crews",B,N/A
72022,"Supervisors, printing and related occupations",2,7303,"Supervisors, printing and related occupations",B,N/A
72023,"Supervisors, railway transport operations",2,7304,"Supervisors, railway transport operations",B,N/A
72024,"Supervisors, motor transport and other ground transit operators",2,7305,"Supervisors, motor transport and other ground transit operators",B,N/A
72025,"Supervisors, mail and message distribution occupations",2,1214,"Supervisors, mail and message distribution occupations",B,"NOC 1214 moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
72100,Machinists and machining and tooling inspectors,2,7231,Machinists and machining and tooling inspectors,B,N/A
72101,Tool and die makers,2,7232,Tool and die makers,B,N/A
72102,Sheet metal workers,2,7233,Sheet metal workers,B,N/A
72103,Boilermakers,2,7234,Boilermakers,B,N/A
72104,Structural metal and platework fabricators and fitters,2,7235,Structural metal and platework fabricators and fitters,B,N/A
72105,Ironworkers,2,7236,Ironworkers,B,N/A
72106,Welders and related machine operators,2,7237,Welders and related machine operators,B,N/A
72200,Electricians (except industrial and power system),2,7241,Electricians (except industrial and power system),B,N/A
72201,Industrial electricians,2,7242,Industrial electricians,B,N/A
72202,Power system electricians,2,7243,Power system electricians,B,N/A
72203,Electrical power line and cable workers,2,7244,Electrical power line and cable workers,B,N/A
72204,Telecommunications line and cable installers and repairers,2,7245,Telecommunications line and cable workers,B,Job titles related to telecommunication line and cable workers moved from NOC 7245 to NOC 72204.
,,,7247,Cable television service and maintenance technicians,B,NOC 7247 was split. Job titles related to cable television maintenance technician moved from NOC 7247 to NOC 72204.
72205,Telecommunications equipment installation and cable television service technicians,2,7246,Telecommunications installation and repair workers,B,Job titles related to telecommunication installation and repair workers moved from NOC 7246 to NOC 72205.
,,,7247,Cable television service and maintenance technicians,B,NOC 7247 was split. Job titles related to distribution systems and cable television service technicians moved from NOC 7247 to NOC 72205.
72300,Plumbers,2,7251,Plumbers,B,N/A
72301,"Steamfitters, pipefitters and sprinkler system installers",2,7252,"Steamfitters, pipefitters and sprinkler system installers",B,N/A
72302,Gas fitters,2,7253,Gas fitters,B,N/A
72310,Carpenters,2,7271,Carpenters,B,N/A
72311,Cabinetmakers,2,7272,Cabinetmakers,B,N/A
72320,Bricklayers,2,7281,Bricklayers,B,N/A
72321,Insulators,2,7293,Insulators,B,N/A
72400,Construction millwrights and industrial mechanics,2,7311,Construction millwrights and industrial mechanics,B,N/A
72401,Heavy-duty equipment mechanics,2,7312,Heavy-duty equipment mechanics,B,N/A
72402,"Heating, refrigeration and air conditioning mechanics",2,7313,"Heating, refrigeration and air conditioning mechanics",B,N/A
72403,Railway carmen / women,2,7314,Railway carmen / women,B,N/A
72404,Aircraft mechanics and aircraft inspectors,2,7315,Aircraft mechanics and aircraft inspectors,B,N/A
72405,Machine fitters,2,7316,Machine fitters,B,N/A
72406,Elevator constructors and mechanics,2,7318,Elevator constructors and mechanics,B,N/A
72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers",2,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",B,N/A
72411,"Auto body collision, refinishing and glass technicians and damage repair estimators",2,7322,Motor vehicle body repairers,B,N/A
72420,Oil and solid fuel heating mechanics,2,7331,Oil and solid fuel heating mechanics,B,N/A
72421,Appliance servicers and repairers,2,7332,Appliance servicers and repairers,B,N/A
72422,Electrical mechanics,2,7333,Electrical mechanics,B,N/A
72423,"Motorcycle, all-terrain vehicle and other related mechanics",2,7334,"Motorcycle, all-terrain vehicle and other related mechanics",B,"Job titles related to motorcycle, all-terrain vehicle and other related mechanics moved from NOC 7334 to NOC 72423."
,,,7384,"Other trades and related occupations, nec",B,"NOC 7384 was split. Job titles related to recreation and vehicle mechanic, repairer, and service technician moved from NOC 7384 to NOC 72423."
72429,Other small engine and small equipment repairers,2,7335,Other small engine and small equipment repairers,B,N/A
72500,Crane operators,2,7371,Crane operators,B,NOC 7371 was split. Job titles related to crane operators moved from NOC 7371 to NOC 72500.
72501,Water well drillers,2,7373,Water well drillers,B,N/A
72600,"Air pilots, flight engineers and flying instructors",2,2271,"Air pilots, flight engineers and flying instructors",B,"NOC 2271 was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
,,,8252,Agricultural service contractors and farm supervisors,B,"NOC 8252 was split. Job title ""Aerial crop dusting service contractor"" moved from NOC 8252 to NOC 72600."
72601,Air traffic controllers and related occupations,2,2272,Air traffic controllers and related occupations,B,"NOC 2272 was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
72602,"Deck officers, water transport",2,2273,"Deck officers, water transport",B,"NOC 2273 was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
72603,"Engineer officers, water transport",2,2274,"Engineer officers, water transport",B,"NOC 2274 was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
72604,Railway traffic controllers and marine traffic regulators,2,2275,Railway traffic controllers and marine traffic regulators,B,"NOC 2275 was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
72999,Other technical trades and related occupations,2,7384,"Other trades and related occupations, nec",B,NOC 7384 was split. Job titles related to other technical trades and related occupations moved from NOC 7384 to NOC 72999.
73100,Concrete finishers,3,7282,Concrete finishers,B,N/A
73101,Tilesetters,3,7283,Tilesetters,B,N/A
73102,"Plasterers, drywall installers and finishers and lathers",3,7284,"Plasterers, drywall installers and finishers and lathers",B,N/A
73110,Roofers and shinglers,3,7291,Roofers and shinglers,B,N/A
73111,Glaziers,3,7292,Glaziers,B,N/A
73112,Painters and decorators (except interior decorators),3,7294,Painters and decorators (except interior decorators),B,N/A
73113,Floor covering installers,3,7295,Floor covering installers,B,N/A
73200,Residential and commercial installers and servicers,3,7441,Residential and commercial installers and servicers,C,N/A
73201,General building maintenance workers and building superintendents,3,6733,"Janitors, caretakers and building superintendents",D,NOC 6733 was split. Job titles related to building superintendent and maintenance work moved from NOC 6733 to NOC 73201.
73202,Pest controllers and fumigators,3,7444,Pest controllers and fumigators,C,N/A
73209,Other repairers and servicers,3,7445,Other repairers and servicers,C,NOC 7445 was split. Job title related to other repairers and servicers moved from NOC 7445 to NOC 73209.
73300,Transport truck drivers,3,7511,Transport truck drivers,C,N/A
73301,"Bus drivers, subway operators and other transit operators",3,7512,"Bus drivers, subway operators and other transit operators",C,N/A
73310,Railway and yard locomotive engineers,3,7361,Railway and yard locomotive engineers,B,N/A
73311,Railway conductors and brakemen / women,3,7362,Railway conductors and brakemen / women,B,N/A
73400,Heavy equipment operators,3,7521,Heavy equipment operators (except crane),C,N/A
73401,Printing press operators,3,7381,Printing press operators,B,N/A
73402,"Drillers and blasters - surface mining, quarrying and construction",3,7372,"Drillers and blasters - surface mining, quarrying and construction",B,N/A
74100,Mail and parcel sorters and related occupations,4,1511,"Mail, postal and related workers",C,"NOC 1511 was split. Job titles related to mail and parcel sorter moved from NOC 1511 to NOC 74100. Mail and parcel sorter occupation was moved to transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
74101,Letter carriers,4,1512,Letter carriers,C,"NOC 1512 was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
74102,Couriers and messengers,4,1513,"Couriers, messengers and door-to-door distributors",C,"NOC 1513 was split. Job titles related to couriers and messengers moved from NOC 1513 to NOC 74102. Courier and messenger occupation was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
,,,7514,Delivery and courier service drivers,C,NOC 7514 was split. Job titles related to courier service drivers moved from NOC 7514 to NOC 74102.
74200,Railway yard and track maintenance workers,4,7531,Railway yard and track maintenance workers,C,N/A
74201,Water transport deck and engine room crew,4,7532,Water transport deck and engine room crew,C,N/A
74202,Air transport ramp attendants,4,7534,Air transport ramp attendants,C,Job titles related to air transport ramp attendants moved from NOC 7534 to NOC 72404.
,,,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",B,"NOC 1215 was split. Job title ""Ramp services supervisor - airport"" moved from NOC 1215 to NOC 74202."
74203,Automotive and heavy truck and equipment parts installers and servicers,4,7535,Other automotive mechanical installers and servicers,C,N/A
74204,Utility maintenance workers,4,7442,Waterworks and gas maintenance workers,C,Job titles related to waterworks and gas maintenance workers moved from NOC 7442 to NOC 74204.
,,,7522,Public works maintenance equipment operators and related workers,C,NOC 7522 was split. Job titles related to utility and power pole inspection moved from NOC 7522 to NOC 74204.
74205,Public works maintenance equipment operators and related workers,4,7522,Public works maintenance equipment operators and related workers,C,N/A
75100,Longshore workers,5,7451,Longshore workers,C,N/A
75101,Material handlers,5,6221,Technical sales specialists - wholesale trade,B,"NOC 6221 was split. Job title ""grain elevator operator"" moved from NOC 6221 to NOC 75101."
,,,7452,Material handlers,C,Job titles related to material handlers in NOC 7452 to NOC 75101.
75110,Construction trades helpers and labourers,5,7371,Crane operators,B,NOC 7371 was split. Job titles related to rigging moved from NOC 7371 to NOC 75100.
,,,7611,Construction trades helpers and labourers,D,Job titles related to construction trades helpers and labourers moved from NOC 7611 to NOC 75110.
75119,Other trades helpers and labourers,5,7612,Other trades helpers and labourers,D,N/A
75200,Taxi and limousine drivers and chauffeurs,5,7513,Taxi and limousine drivers and chauffeurs,C,N/A
75201,Delivery service drivers and door-to-door distributors,5,7514,Delivery and courier service drivers,C,NOC 7514 was split. Job titles related to delivery service drivers and door-to-door distributors moved from NOC 7514 to NOC 75201.
,,,1513,"Couriers, messengers and door-to-door distributors",C,NOC 1513 was split. Job titles related to door-to-door distributors moved from NOC 1513 to NOC 7514 75201.
75210,Boat and cable ferry operators and related occupations,5,7533,Boat and cable ferry operators and related occupations,C,N/A
75211,Railway and motor transport labourers,5,7622,Railway and motor transport labourers,D,N/A
75212,Public works and maintenance labourers,5,7621,Public works and maintenance labourers,D,N/A
80010,Managers in natural resources production and fishing,0,811,Managers in natural resources production and fishing,Management / A,N/A
80020,Managers in agriculture,0,821,Managers in agriculture,Management / A,N/A
80021,Managers in horticulture,0,822,Managers in horticulture,Management / A,N/A
80022,Managers in aquaculture,0,823,Managers in aquaculture,Management / A,N/A
82010,"Supervisors, logging and forestry",2,8211,"Supervisors, logging and forestry",B,N/A
82020,"Supervisors, mining and quarrying",2,8221,"Supervisors, mining and quarrying",B,N/A
82021,"Contractors and supervisors, oil and gas drilling and services",3,8222,"Contractors and supervisors, oil and gas drilling and services",B,N/A
82030,Agricultural service contractors and farm supervisors,2,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",B,NOC 8252 was split. Job titles related to agricultural service contractors and farm supervisors moved from NOC 8252 to NOC 82030.
82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",2,8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",B,N/A
83100,Underground production and development miners,3,8231,Underground production and development miners,B,N/A
83101,"Oil and gas well drillers, servicers, testers and related workers",3,8232,"Oil and gas well drillers, servicers, testers and related workers",B,N/A
83110,Logging machinery operators,3,8241,Logging machinery operators,B,N/A
83120,Fishing masters and officers,3,8261,Fishing masters and officers,B,N/A
83121,Fishermen / women,3,8262,Fishermen / women,B,N/A
84100,Underground mine service and support workers,4,8411,Underground mine service and support workers,C,N/A
84101,Oil and gas well drilling and related workers and services operators,4,8412,Oil and gas well drilling and related workers and services operators,C,N/A
84110,Chain saw and skidder operators,4,8421,Chain saw and skidder operators,C,N/A
84111,Silviculture and forestry workers,4,8422,Silviculture and forestry workers,C,N/A
84120,Specialized livestock workers and farm machinery operators,4,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",B,NOC 8252 was split. Job titles related to specialized livestock work moved from NOC 8252 to NOC 84120.
,,,8431,General farm workers,C,NOC 8431 was split. Job titles related to farm machinery operation moved from NOC 8431 to NOC 84120.
84121,Fishing vessel deckhands,4,8441,Fishing vessel deckhands,C,N/A
85100,Livestock labourers,5,8431,General farm workers,C,NOC 8431 was split. Job titles related to livestock labourer moved from NOC 8431 to NOC 85100.
,,,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",C,"NOC 8252 was split. Job title ""Feedlot herd attendant"" moved from NOC 8252 to NOC 85100."
85101,Harvesting labourers,5,8431,General farm workers,C,NOC 8431 was split. Job titles related to harvesting labourer moved from NOC 8431 to NOC 85101.
,,,8611,Harvesting labourers,D,Job titles related to harvesting labourers moved from NOC 8611 to NOC 85101.
85102,Aquaculture and marine harvest labourers,5,8613,Aquaculture and marine harvest labourers,D,N/A
85103,Nursery and greenhouse labourers,5,8432,Nursery and greenhouse workers,C,N/A
85104,Trappers and hunters,5,8442,Trappers and hunters,C,N/A
85110,Mine labourers,5,8614,Mine labourers,D,N/A
85111,"Oil and gas drilling, servicing and related labourers",5,8615,"Oil and gas drilling, servicing and related labourers",D,N/A
85120,Logging and forestry labourers,5,8616,Logging and forestry labourers,D,N/A
85121,Landscaping and grounds maintenance labourers,5,8612,Landscaping and grounds maintenance labourers,D,N/A
90010,Manufacturing managers,0,911,Manufacturing managers,Management / A,N/A
90011,Utilities managers,0,912,Utilities managers,Management / A,N/A
92010,"Supervisors, mineral and metal processing",2,9211,"Supervisors, mineral and metal processing",B,N/A
92011,"Supervisors, petroleum, gas and chemical processing and utilities",2,9212,"Supervisors, petroleum, gas and chemical processing and utilities",B,N/A
92012,"Supervisors, food and beverage processing",2,9213,"Supervisors, food and beverage processing",B,N/A
92013,"Supervisors, plastic and rubber products manufacturing",2,9214,"Supervisors, plastic and rubber products manufacturing",B,N/A
92014,"Supervisors, forest products processing",2,9215,"Supervisors, forest products processing",B,N/A
92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",2,9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",B,N/A
92020,"Supervisors, motor vehicle assembling",2,9221,"Supervisors, motor vehicle assembling",B,N/A
92021,"Supervisors, electronics and electrical products manufacturing",2,9222,"Supervisors, electronics manufacturing",B,NOC 9222 merged with NOC 9223 to create NOC 92021.
,,,9223,"Supervisors, electrical products manufacturing",B,NOC 9223 merged with NOC 9222 to create NOC 92021.
92022,"Supervisors, furniture and fixtures manufacturing",2,9224,"Supervisors, furniture and fixtures manufacturing",B,N/A
92023,"Supervisors, other mechanical and metal products manufacturing",2,9226,"Supervisors, other mechanical and metal products manufacturing",B,N/A
92024,"Supervisors, other products manufacturing and assembly",2,9227,"Supervisors, other products manufacturing and assembly",B,N/A
92100,Power engineers and power systems operators,2,9241,Power engineers and power systems operators,B,N/A
92101,Water and waste treatment plant operators,2,9243,Water and waste treatment plant operators,B,N/A
93100,"Central control and process operators, mineral and metal processing",3,9231,"Central control and process operators, mineral and metal processing",B,N/A
93101,"Central control and process operators, petroleum, gas and chemical processing",3,9232,"Central control and process operators, petroleum, gas and chemical processing",B,N/A
93102,"Pulping, papermaking and coating control operators",3,9235,"Pulping, papermaking and coating control operators",B,N/A
93200,Aircraft assemblers and aircraft assembly inspectors,3,9521,Aircraft assemblers and aircraft assembly inspectors,C,N/A
94100,"Machine operators, mineral and metal processing",4,9411,"Machine operators, mineral and metal processing",C,N/A
94101,Foundry workers,4,9412,Foundry workers,C,N/A
94102,Glass forming and finishing machine operators and glass cutters,4,9413,Glass forming and finishing machine operators and glass cutters,C,N/A
94103,"Concrete, clay and stone forming operators",4,9414,"Concrete, clay and stone forming operators",C,N/A
94104,"Inspectors and testers, mineral and metal processing",4,9415,"Inspectors and testers, mineral and metal processing",C,N/A
94105,Metalworking and forging machine operators,4,9416,Metalworking and forging machine operators,C,N/A
94106,Machining tool operators,4,9417,Machining tool operators,C,N/A
94107,Machine operators of other metal products,4,9418,Other metal products machine operators,C,N/A
94110,Chemical plant machine operators,4,9421,Chemical plant machine operators,C,N/A
94111,Plastics processing machine operators,4,9422,Plastics processing machine operators,C,N/A
94112,Rubber processing machine operators and related workers,4,9423,Rubber processing machine operators and related workers,C,N/A
94120,Sawmill machine operators,4,9431,Sawmill machine operators,C,N/A
